"Label (Grouping)","Ashland city, Oregon!!Estimate","Ashland city, Oregon!!Margin of Error","Ashland city, Oregon!!Percent","Ashland city, Oregon!!Percent Margin of Error","Baker City city, Oregon!!Estimate","Baker City city, Oregon!!Margin of Error","Baker City city, Oregon!!Percent","Baker City city, Oregon!!Percent Margin of Error","Cottage Grove city, Oregon!!Estimate","Cottage Grove city, Oregon!!Margin of Error","Cottage Grove city, Oregon!!Percent","Cottage Grove city, Oregon!!Percent Margin of Error","Eagle Point city, Oregon!!Estimate","Eagle Point city, Oregon!!Margin of Error","Eagle Point city, Oregon!!Percent","Eagle Point city, Oregon!!Percent Margin of Error","Forest Grove city, Oregon!!Estimate","Forest Grove city, Oregon!!Margin of Error","Forest Grove city, Oregon!!Percent","Forest Grove city, Oregon!!Percent Margin of Error","Klamath Falls city, Oregon!!Estimate","Klamath Falls city, Oregon!!Margin of Error","Klamath Falls city, Oregon!!Percent","Klamath Falls city, Oregon!!Percent Margin of Error","Newberg city, Oregon!!Estimate","Newberg city, Oregon!!Margin of Error","Newberg city, Oregon!!Percent","Newberg city, Oregon!!Percent Margin of Error","Newport city, Oregon!!Estimate","Newport city, Oregon!!Margin of Error","Newport city, Oregon!!Percent","Newport city, Oregon!!Percent Margin of Error","North Bend city, Oregon!!Estimate","North Bend city, Oregon!!Margin of Error","North Bend city, Oregon!!Percent","North Bend city, Oregon!!Percent Margin of Error","Ontario city, Oregon!!Estimate","Ontario city, Oregon!!Margin of Error","Ontario city, Oregon!!Percent","Ontario city, Oregon!!Percent Margin of Error","Prineville city, Oregon!!Estimate","Prineville city, Oregon!!Margin of Error","Prineville city, Oregon!!Percent","Prineville city, Oregon!!Percent Margin of Error","Roseburg city, Oregon!!Estimate","Roseburg city, Oregon!!Margin of Error","Roseburg city, Oregon!!Percent","Roseburg city, Oregon!!Percent Margin of Error","Sandy city, Oregon!!Estimate","Sandy city, Oregon!!Margin of Error","Sandy city, Oregon!!Percent","Sandy city, Oregon!!Percent Margin of Error","Silverton city, Oregon!!Estimate","Silverton city, Oregon!!Margin of Error","Silverton city, Oregon!!Percent","Silverton city, Oregon!!Percent Margin of Error","Sweet Home city, Oregon!!Estimate","Sweet Home city, Oregon!!Margin of Error","Sweet Home city, Oregon!!Percent","Sweet Home city, Oregon!!Percent Margin of Error","Tualatin city, Oregon!!Estimate","Tualatin city, Oregon!!Margin of Error","Tualatin city, Oregon!!Percent","Tualatin city, Oregon!!Percent Margin of Error","West Linn city, Oregon!!Estimate","West Linn city, Oregon!!Margin of Error","West Linn city, Oregon!!Percent","West Linn city, Oregon!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","11,273","±439","11,273","(X)","4,502","±190","4,502","(X)","4,452","±273","4,452","(X)","3,686","±397","3,686","(X)","9,386","±425","9,386","(X)","9,777","±446","9,777","(X)","9,472","±410","9,472","(X)","5,615","±303","5,615","(X)","4,561","±274","4,561","(X)","4,978","±252","4,978","(X)","4,737","±249","4,737","(X)","10,910","±457","10,910","(X)","4,500","±298","4,500","(X)","4,021","±314","4,021","(X)","4,061","±267","4,061","(X)","11,282","±405","11,282","(X)","10,392","±341","10,392","(X)"
"        Occupied housing units","10,052","±415","89.2%","±2.3","4,131","±206","91.8%","±2.9","4,247","±249","95.4%","±2.5","3,620","±396","98.2%","±2.8","8,999","±475","95.9%","±1.7","9,023","±430","92.3%","±2.0","9,177","±381","96.9%","±1.6","4,559","±283","81.2%","±2.8","4,096","±241","89.8%","±4.1","4,405","±230","88.5%","±2.9","4,522","±227","95.5%","±3.0","10,249","±468","93.9%","±2.2","4,317","±229","95.9%","±3.9","3,894","±291","96.8%","±2.3","3,917","±262","96.5%","±3.0","10,737","±362","95.2%","±1.5","9,998","±345","96.2%","±1.8"
"        Vacant housing units","1,221","±270","10.8%","±2.3","371","±133","8.2%","±2.9","205","±114","4.6%","±2.5","66","±103","1.8%","±2.8","387","±155","4.1%","±1.7","754","±209","7.7%","±2.0","295","±155","3.1%","±1.6","1,056","±167","18.8%","±2.8","465","±198","10.2%","±4.1","573","±156","11.5%","±2.9","215","±146","4.5%","±3.0","661","±240","6.1%","±2.2","183","±183","4.1%","±3.9","127","±96","3.2%","±2.3","144","±123","3.5%","±3.0","545","±174","4.8%","±1.5","394","±193","3.8%","±1.8"
"        Homeowner vacancy rate","2.3","±1.2","(X)","(X)","2.6","±2.3","(X)","(X)","1.4","±2.2","(X)","(X)","0.0","±1.5","(X)","(X)","0.6","±0.8","(X)","(X)","0.5","±0.8","(X)","(X)","0.6","±0.8","(X)","(X)","2.1","±1.7","(X)","(X)","1.8","±2.4","(X)","(X)","1.5","±1.9","(X)","(X)","0.0","±1.4","(X)","(X)","2.4","±1.9","(X)","(X)","0.7","±1.1","(X)","(X)","1.4","±2.2","(X)","(X)","2.3","±3.0","(X)","(X)","1.8","±1.6","(X)","(X)","0.5","±0.6","(X)","(X)"
"        Rental vacancy rate","2.3","±1.5","(X)","(X)","4.7","±5.0","(X)","(X)","3.2","±3.8","(X)","(X)","0.0","±3.1","(X)","(X)","6.7","±3.6","(X)","(X)","4.4","±2.0","(X)","(X)","1.3","±1.9","(X)","(X)","3.3","±2.1","(X)","(X)","1.7","±2.6","(X)","(X)","5.9","±5.0","(X)","(X)","1.6","±2.5","(X)","(X)","2.1","±2.5","(X)","(X)","0.0","±3.7","(X)","(X)","0.0","±2.4","(X)","(X)","4.3","±4.9","(X)","(X)","5.2","±3.0","(X)","(X)","2.2","±3.5","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","11,273","±439","11,273","(X)","4,502","±190","4,502","(X)","4,452","±273","4,452","(X)","3,686","±397","3,686","(X)","9,386","±425","9,386","(X)","9,777","±446","9,777","(X)","9,472","±410","9,472","(X)","5,615","±303","5,615","(X)","4,561","±274","4,561","(X)","4,978","±252","4,978","(X)","4,737","±249","4,737","(X)","10,910","±457","10,910","(X)","4,500","±298","4,500","(X)","4,021","±314","4,021","(X)","4,061","±267","4,061","(X)","11,282","±405","11,282","(X)","10,392","±341","10,392","(X)"
"        1-unit, detached","6,812","±426","60.4%","±3.0","3,227","±219","71.7%","±3.5","2,914","±255","65.5%","±5.2","2,817","±381","76.4%","±8.6","5,587","±363","59.5%","±3.2","6,137","±367","62.8%","±3.4","6,179","±415","65.2%","±4.0","2,964","±261","52.8%","±3.9","3,241","±272","71.1%","±4.9","2,726","±234","54.8%","±5.2","2,885","±317","60.9%","±6.1","6,472","±510","59.3%","±4.0","3,428","±323","76.2%","±5.2","2,767","±254","68.8%","±5.6","2,835","±386","69.8%","±7.1","5,660","±301","50.2%","±2.2","8,276","±366","79.6%","±2.6"
"        1-unit, attached","1,495","±358","13.3%","±3.1","88","±83","2.0%","±1.8","271","±83","6.1%","±1.9","301","±178","8.2%","±4.7","304","±122","3.2%","±1.3","390","±125","4.0%","±1.3","673","±292","7.1%","±3.0","389","±110","6.9%","±2.0","104","±61","2.3%","±1.4","185","±121","3.7%","±2.4","211","±137","4.5%","±2.9","582","±245","5.3%","±2.3","327","±125","7.3%","±2.7","133","±86","3.3%","±2.1","79","±69","1.9%","±1.7","823","±202","7.3%","±1.8","475","±134","4.6%","±1.3"
