YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre
2017,Ashland,1200560400,1200560400,1170190200,1170190200,1089729000,807743100,1116703200,1056291400,1081884200,334708100,36437900,39359700,12271900,6619300,3431105,3524600,1830787,462076.946124408,128951.25,946108,1888794,860882.6689743986,752437,673098.5907884551,676785.5836137381,681292.9098806734,681292.9098806734,587847,621026,594192,474129,471673,467135,467135,464682,529038,356773,319565,252388,252388,424713.94978981273,265799,283250,315401,296116,190325,241938,50339.00008584919,21281,Medium,1,0,1
2017,Baker City,284306200,284306200,275074100,275074100,267144100,201613700,272410000,261125300,267736900,68354700,7454400,8582800,3897900,1104200,797027,503200,527676,280206.69618373306,42536.8421052632,326933,560942,273285.9762342465,265984,229788.2383055854,228408.6202285523,225310.61381048415,225310.61381048415,212739,223781,216880,176081,176707,175265,175265,174708,170265,142245,146613,119813,119813,139829.8072220167,109551,184863,129703,113785,124406,154107,44295.74226618705,9809,None,0,0,1
2017,Cottage Grove,369714000,369714000,362815900,362815900,345395600,265242400,353542400,332394800,339229700,86945200,16495300,17805600,11743300,1839500,822735,813600,495837,194589.3709826521,128886.9918699187,308841,498383,247208.2516976724,253718,216056.79652889495,215771.6885685548,213575.872655114,213575.872655114,204388,194474,194191,168436,170301,165537,165537,167313,189394,138290,144593,72763,72763,142038.1679143692,105724,93217,108281,104828,119477,161195,40982.45079134073,10465,Medium,1,0,1
2017,Eagle Point,340389000,340389000,336612200,336612200,327904100,237576600,326584900,308398700,310207500,87626100,22507800,18179900,11607500,1683700,325916,234500,194114,100931.838565022,0,114995,205586,87344.3382352941,99029,82078.6232790989,80774.9345206915,81484.434761559,81484.434761559,74920,72594,74363,60484,61911,61948,61948,63071,52744,49668,52977,36042,36042,62102.1261516655,36387,51071,45941,29391,51156,48884,61948,9554,None,0,0,1
2017,Forest Grove,937936500,937936500,898519600,898519600,783166200,697684900,813715000,688850000,713398800,161052200,163182300,174045300,32159500,4088600,1958023,1790300,1161672,494665.0041275502,330220.52974085,711379,1145571,538666.1130199336,588880,526936.857572979,530441.5521717282,515245.3035790783,515245.3035790783,496712,457393,519813,417673,420752,425154,425154,416506,327916,335191,278775,301112,301112,337979.7023667372,281153,325395,232945,305842,319412,236204,60917.87027779209,25553,Large/Metro,1,0,1
2017,Klamath Falls,926257400,926257400,906077300,906077300,826172100,660749900,844306900,778027400,791116400,229402200,61888400,69555600,29405500,5611200,2123314,1542400,1360724,562464.656039385,301003.12788611004,870199,1508969,685974.7616525965,701138,583573.0229819649,589844.5603863938,585069.754865037,585069.754865037,563414,546700,605763,464385,460507,465195,465195,468894,446446,368559,363057,265432,265432,392183.82468873897,277371,366598,303910,287931,355305,343226,43994.472444653795,21753,Medium,1,0,1
2017,Newberg,1128276600,1128276600,1075188600,1075188600,1011326400,835488400,1054966300,946397900,986084600,209609200,91651900,96012800,27531300,4604900,1771753,1842200,1118561,366153.294953011,357801.1635747653,733804,1103226,526278.2063818998,605318,510339.8036768046,511603.7574482608,505679.4612074,505679.4612074,483299,445867,466895,415364,413732,408660,408660,409464,331670,341606,267620,257394,257394,378510.1206954874,275075,321430,240389,256570,287337,173863,64402.439661219505,23886,Medium,1,0,1
2017,Newport,340234000,340234000,332569600,332569600,308737000,231715600,307945000,294971200,294185500,95781300,19960800,24369200,12285800,2239900,1157617,1090300,704022,202282.9667599281,130435.53571428572,420505,770791,349608.4711048672,345274,295857.4312204355,297416.9052080637,292427.85949118837,292427.85949118837,279784,275123,277036,221869,218911,216760,216760,219874,226879,167595,169717,170897,170897,203568.5469591647,132462,143214,143403,152454,186821,130426,44127.68925556408,10853,Medium,1,0,1
2017,North Bend,1042590200,1042590200,993282900,993282900,926391800,748079100,968432400,907723400,940013300,227650700,22010800,38606600,33594400,4954500,2691878,1632200,1424844,230372.3906993797,358651.43531033176,760399,1478975,681536.3042929505,622067,568667.5134136778,572081.3785544283,558791.9873856554,558791.9873856554,505366,516875,507706,422816,417960,411804,411804,415712,417089,330018,328091,262087,262087,329460.3406985664,243901,352974,271266,236722,348587,271058,44315.300804726496,9768,None,0,0,1
2017,Ontario,251093700,251093700,247341900,247341900,224888600,180575000,226339400,168750000,174475900,60057000,70941600,68187200,6710400,1574600,575830,351300,350917,132067.9483242794,104298.8987375772,207561,375126,161048.2492821686,169695,144531.20294774638,144241.8134749188,141441.2395724544,141441.2395724544,126427,114247,155980,104325,100573,98931,98931,99919,111628,78407,98315,64997,64997,94331.1233437493,59835,80500,68988,59436,96335,55145,33045.61250734862,10994,Medium,1,0,1
