YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre,total_housing_units,occupied_housing_units,vacant_housing_units,homeowner_vacancy_rate,rental_vacancy_rate,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_more,rooms_1,rooms_2,rooms_3,rooms_4,rooms_5,rooms_6,rooms_7,rooms_8,rooms_9_more,median_rooms,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_more,owner_occupied_units,renter_occupied_units,avg_hh_size_owner,avg_hh_size_renter,veh_no,veh_1,veh_2,veh_3_more,occ_per_room_1_or_less,occ_per_room_1_01_to_1_50,occ_per_room_1_51_more,value_less_50000,value_50000_99999,value_100000_149999,value_150000_199999,value_200000_299999,value_300000_499999,value_500000_999999,value_1000000_more,median_value_dollars,housing_with_mortgage,housing_without_mortgage,median_gross_rent_dollars
2017,Ashland,1200560400,1200560400,1170190200,1170190200,1089729000,807743100,1116703200,1056291400,1081884200,334708100,36437900,39359700,12271900,6619300,3431105,3524600,1830787,462076.946124408,128951.25,946108,1888794,860882.6689743986,752437,673098.5907884551,676785.5836137381,681292.9098806734,681292.9098806734,587847,621026,594192,474129,471673,467135,467135,464682,529038,356773,319565,252388,252388,424713.94978981273,265799,283250,315401,296116,190325,241938,50339.00008584919,21281,Medium,1,0,1,10569,9719,850,1.5,3.3,6733,856,364,840,476,325,586,469,522,1060,1906,2334,1415,1196,966,701,5.1,524,1303,3176,4123,1226,217,5260,4459,2.02,2.11,781,4058,3500,1380,9616,8,95,306,73,43,195,938,2226,1334,145,392000,3072,2188,1056
2017,Baker City,284306200,284306200,275074100,275074100,267144100,201613700,272410000,261125300,267736900,68354700,7454400,8582800,3897900,1104200,797027,503200,527676,280206.69618373306,42536.8421052632,326933,560942,273285.9762342465,265984,229788.2383055854,228408.6202285523,225310.61381048415,225310.61381048415,212739,223781,216880,176081,176707,175265,175265,174708,170265,142245,146613,119813,119813,139829.8072220167,109551,184863,129703,113785,124406,154107,44295.74226618705,9809,None,0,0,1,4809,4265,544,1.4,8,3478,73,184,177,117,118,246,95,194,484,782,913,1035,632,221,453,5.4,105,636,1516,2008,465,79,2796,1469,2.3,1.87,459,1342,1575,889,4187,63,15,205,828,694,353,358,311,47,0,121600,1607,1189,640
2017,Cottage Grove,369714000,369714000,362815900,362815900,345395600,265242400,353542400,332394800,339229700,86945200,16495300,17805600,11743300,1839500,822735,813600,495837,194589.3709826521,128886.9918699187,308841,498383,247208.2516976724,253718,216056.79652889495,215771.6885685548,213575.872655114,213575.872655114,204388,194474,194191,168436,170301,165537,165537,167313,189394,138290,144593,72763,72763,142038.1679143692,105724,93217,108281,104828,119477,161195,40982.45079134073,10465,Medium,1,0,1,4334,4022,312,0.1,3.9,2808,299,219,287,109,117,195,75,144,275,1023,1085,795,435,223,279,5.1,83,427,1403,1904,411,106,2441,1581,2.46,2.42,476,1362,1400,784,3805,180,37,222,94,549,879,474,158,33,32,169600,1659,782,858
2017,Eagle Point,340389000,340389000,336612200,336612200,327904100,237576600,326584900,308398700,310207500,87626100,22507800,18179900,11607500,1683700,325916,234500,194114,100931.838565022,0,114995,205586,87344.3382352941,99029,82078.6232790989,80774.9345206915,81484.434761559,81484.434761559,74920,72594,74363,60484,61911,61948,61948,63071,52744,49668,52977,36042,36042,62102.1261516655,36387,51071,45941,29391,51156,48884,61948,9554,None,0,0,1,3855,3564,291,2.9,8.8,2540,535,83,214,60,0,149,98,123,122,812,1053,759,401,224,263,5.2,98,192,647,2514,388,16,2241,1323,2.36,2.69,329,815,1372,1048,3537,27,0,274,54,200,490,591,519,113,0,214400,1240,1001,1209
2017,Forest Grove,937936500,937936500,898519600,898519600,783166200,697684900,813715000,688850000,713398800,161052200,163182300,174045300,32159500,4088600,1958023,1790300,1161672,494665.0041275502,330220.52974085,711379,1145571,538666.1130199336,588880,526936.857572979,530441.5521717282,515245.3035790783,515245.3035790783,496712,457393,519813,417673,420752,425154,425154,416506,327916,335191,278775,301112,301112,337979.7023667372,281153,325395,232945,305842,319412,236204,60917.87027779209,25553,Large/Metro,1,0,1,8440,7955,485,0.5,7.2,5104,333,425,599,371,203,885,279,268,420,1708,1563,1380,1122,692,1008,5.5,279,597,2080,3613,1357,514,4806,3149,2.9899999999999998,2.55,792,2236,2800,2127,7664,249,42,379,235,157,495,1924,1312,282,22,249300,3506,1300,900
2017,Klamath Falls,926257400,926257400,906077300,906077300,826172100,660749900,844306900,778027400,791116400,229402200,61888400,69555600,29405500,5611200,2123314,1542400,1360724,562464.656039385,301003.12788611004,870199,1508969,685974.7616525965,701138,583573.0229819649,589844.5603863938,585069.754865037,585069.754865037,563414,546700,605763,464385,460507,465195,465195,468894,446446,368559,363057,265432,265432,392183.82468873897,277371,366598,303910,287931,355305,343226,43994.472444653795,21753,Medium,1,0,1,9888,8891,997,3.6,8.8,6255,683,425,639,370,283,734,378,452,1278,2089,1910,1511,1153,404,713,4.9,422,1413,3488,3335,914,316,3904,4987,2.5,2.14,1067,3241,3068,1515,8612,236,43,338,768,871,903,688,267,24,45,148900,2634,1270,732
2017,Newberg,1128276600,1128276600,1075188600,1075188600,1011326400,835488400,1054966300,946397900,986084600,209609200,91651900,96012800,27531300,4604900,1771753,1842200,1118561,366153.294953011,357801.1635747653,733804,1103226,526278.2063818998,605318,510339.8036768046,511603.7574482608,505679.4612074,505679.4612074,483299,445867,466895,415364,413732,408660,408660,409464,331670,341606,267620,257394,257394,378510.1206954874,275075,321430,240389,256570,287337,173863,64402.439661219505,23886,Medium,1,0,1,8580,8126,454,1.6,2.6,5468,559,372,305,488,211,567,262,207,269,1793,1676,1806,948,732,887,5.5,262,392,2316,3825,1467,318,5023,3103,2.59,2.66,427,2769,3373,1557,7681,343,102,365,127,298,725,1832,1512,153,11,251800,3943,1080,1027
2017,Newport,340234000,340234000,332569600,332569600,308737000,231715600,307945000,294971200,294185500,95781300,19960800,24369200,12285800,2239900,1157617,1090300,704022,202282.9667599281,130435.53571428572,420505,770791,349608.4711048672,345274,295857.4312204355,297416.9052080637,292427.85949118837,292427.85949118837,279784,275123,277036,221869,218911,216760,216760,219874,226879,167595,169717,170897,170897,203568.5469591647,132462,143214,143403,152454,186821,130426,44127.68925556408,10853,Medium,1,0,1,5723,4520,1203,2.5,4.5,3019,442,352,423,386,230,298,274,349,601,1275,1330,854,412,373,255,4.8,305,681,2237,1992,461,47,2300,2220,2.05,2.38,340,2071,1485,624,4433,61,26,184,164,249,410,573,512,136,72,221700,1153,1147,854
2017,North Bend,1042590200,1042590200,993282900,993282900,926391800,748079100,968432400,907723400,940013300,227650700,22010800,38606600,33594400,4954500,2691878,1632200,1424844,230372.3906993797,358651.43531033176,760399,1478975,681536.3042929505,622067,568667.5134136778,572081.3785544283,558791.9873856554,558791.9873856554,505366,516875,507706,422816,417960,411804,411804,415712,417089,330018,328091,262087,262087,329460.3406985664,243901,352974,271266,236722,348587,271058,44315.300804726496,9768,None,0,0,1,4188,3863,325,0,4.5,3007,178,84,117,242,76,461,57,174,541,636,953,715,415,361,336,5.2,65,501,1188,1660,597,177,2196,1667,2.54,2.3099999999999996,463,1182,1407,811,3782,81,0,80,103,518,708,437,314,36,0,171100,1399,797,765
2017,Ontario,251093700,251093700,247341900,247341900,224888600,180575000,226339400,168750000,174475900,60057000,70941600,68187200,6710400,1574600,575830,351300,350917,132067.9483242794,104298.8987375772,207561,375126,161048.2492821686,169695,144531.20294774638,144241.8134749188,141441.2395724544,141441.2395724544,126427,114247,155980,104325,100573,98931,98931,99919,111628,78407,98315,64997,64997,94331.1233437493,59835,80500,68988,59436,96335,55145,33045.61250734862,10994,Medium,1,0,1,4775,4324,451,4.4,3.5,2594,137,493,196,150,198,475,273,158,346,1345,1100,694,397,237,225,4.7,273,454,1666,1944,278,160,2083,2241,2.4699999999999998,2.48,708,1575,1419,622,4094,179,51,365,564,520,285,223,93,33,0,111400,1105,978,676
