Metric,Estimate,SE,p_value,Window
mean_hh_income_top5pct,43121.688,175604.149,0.81,10 k (None vs Medium)
median_owner_home_value,50152.5,282854.711,0.862,10 k (None vs Medium)
mean_hh_income_q5,13881.321,121749.143,0.911,10 k (None vs Medium)
avg_household_income_hisp,167941.256,81560.629,0.06,10 k (None vs Medium)
avg_household_income_two,59809.164,89424.736,0.515,10 k (None vs Medium)
inc_q4_limit,10809.354,102532.592,0.918,10 k (None vs Medium)
inc_top5pct_lower_limit,-43576.5,136013.285,0.754,10 k (None vs Medium)
avg_family_income,5842.411,74980.659,0.939,10 k (None vs Medium)
mean_hh_income_q4_alt,-10081.433,79594.854,0.901,10 k (None vs Medium)
avg_household_income_white,8547.803,66119.317,0.899,10 k (None vs Medium)
avg_household_income_white_nh,8210.58,66269.529,0.903,10 k (None vs Medium)
avg_household_income,2983.584,68079.241,0.966,10 k (None vs Medium)
avg_household_income_race_tot,2983.584,68079.241,0.966,10 k (None vs Medium)
inc_q3_limit,-2165.383,71969.214,0.976,10 k (None vs Medium)
median_family_income,10512.129,69727.494,0.882,10 k (None vs Medium)
median_hh_inc_owner,-5962.221,71295.989,0.935,10 k (None vs Medium)
median_hh_income_white_nh,2101.6,53512.986,0.969,10 k (None vs Medium)
median_hh_income_white,3155.05,52751.541,0.953,10 k (None vs Medium)
median_hh_income,-1481.808,54332.288,0.979,10 k (None vs Medium)
median_hh_inc_all_units,-1481.808,54332.288,0.979,10 k (None vs Medium)
mean_hh_income_q3,-6707.133,45259.54,0.884,10 k (None vs Medium)
median_inc_15plus_male_ftyr,-10038.054,40896.239,0.81,10 k (None vs Medium)
inc_q2_limit,3100.121,45723.11,0.947,10 k (None vs Medium)
median_earnings_male,5878.921,44905.172,0.898,10 k (None vs Medium)
median_hh_inc_renter,19322.888,32303.162,0.56,10 k (None vs Medium)
median_hh_inc_past12_renters,19322.888,32303.162,0.56,10 k (None vs Medium)
avg_nonfamily_income,-584.449,45236.287,0.99,10 k (None vs Medium)
mean_hh_income_q2,-4010.65,27848.35,0.888,10 k (None vs Medium)
median_earnings_bachelor,6307.267,63657.255,0.923,10 k (None vs Medium)
median_inc_15plus_male,-9675.683,35838.272,0.791,10 k (None vs Medium)
median_nonfamily_income,2296.979,25615.288,0.93,10 k (None vs Medium)
median_earnings_male_somecoll,20935.867,24629.767,0.411,10 k (None vs Medium)
median_earnings_male_hs,724.617,28411.977,0.98,10 k (None vs Medium)
median_household_income,539.128,3008.207,0.861,10 k (None vs Medium)
mean_hh_income_top5pct,1566906.694,747438.311,0.058,25 k (Medium vs Large)
median_owner_home_value,1370751.667,624908.808,0.049,25 k (Medium vs Large)
mean_hh_income_q5,919705.658,404220.084,0.042,25 k (Medium vs Large)
avg_household_income_hisp,108599.222,104050.384,0.317,25 k (Medium vs Large)
avg_household_income_two,440272.505,204114.099,0.052,25 k (Medium vs Large)
inc_q4_limit,382599.944,143404.252,0.02,25 k (Medium vs Large)
inc_top5pct_lower_limit,157037.306,119330.294,0.213,25 k (Medium vs Large)
avg_family_income,372186.065,170399.697,0.05,25 k (Medium vs Large)
mean_hh_income_q4_alt,426278.933,132892.049,0.008,25 k (Medium vs Large)
avg_household_income_white,335513.211,154673.106,0.051,25 k (Medium vs Large)
avg_household_income_white_nh,340214.979,152843.378,0.046,25 k (Medium vs Large)
avg_household_income,322233.654,144452.802,0.046,25 k (Medium vs Large)
avg_household_income_race_tot,322233.654,144452.802,0.046,25 k (Medium vs Large)
inc_q3_limit,292005.119,110550.211,0.022,25 k (Medium vs Large)
median_family_income,266336.572,104911.477,0.026,25 k (Medium vs Large)
median_hh_inc_owner,250572.756,89414.239,0.016,25 k (Medium vs Large)
median_hh_income_white_nh,270488.775,107258.472,0.027,25 k (Medium vs Large)
median_hh_income_white,260740.533,107748.24,0.032,25 k (Medium vs Large)
median_hh_income,252657.433,101096.894,0.028,25 k (Medium vs Large)
median_hh_inc_all_units,252657.433,101096.894,0.028,25 k (Medium vs Large)
mean_hh_income_q3,282137.411,91721.762,0.01,25 k (Medium vs Large)
median_inc_15plus_male_ftyr,196912.797,94235.09,0.059,25 k (Medium vs Large)
inc_q2_limit,207607.511,81023.78,0.025,25 k (Medium vs Large)
median_earnings_male,183329.142,82106.152,0.045,25 k (Medium vs Large)
median_hh_inc_renter,67616.092,87308.645,0.454,25 k (Medium vs Large)
median_hh_inc_past12_renters,67616.092,87308.645,0.454,25 k (Medium vs Large)
avg_nonfamily_income,110563.17,33915.971,0.007,25 k (Medium vs Large)
mean_hh_income_q2,176373.428,65687.652,0.02,25 k (Medium vs Large)
median_earnings_bachelor,137342.386,41482.754,0.006,25 k (Medium vs Large)
median_inc_15plus_male,160724.058,69274.417,0.039,25 k (Medium vs Large)
median_nonfamily_income,67937.458,49589.03,0.196,25 k (Medium vs Large)
median_earnings_male_somecoll,-31534.658,61892.523,0.62,25 k (Medium vs Large)
median_earnings_male_hs,-86921.617,51278.55,0.116,25 k (Medium vs Large)
median_household_income,7865.584,3799.546,0.061,25 k (Medium vs Large)
