Metric,Estimate,SE,p_value,Window
mean_hh_income_top5pct,-5337.133,127665.146,0.967,10 k (Placebo 2018)
median_owner_home_value,126138.333,201176.956,0.542,10 k (Placebo 2018)
mean_hh_income_q5,10924.142,86056.692,0.901,10 k (Placebo 2018)
avg_household_income_hisp,96318.364,83908.751,0.272,10 k (Placebo 2018)
avg_household_income_two,57561.1,60676.935,0.36,10 k (Placebo 2018)
inc_q4_limit,17970.233,75659.616,0.816,10 k (Placebo 2018)
inc_top5pct_lower_limit,1209.008,83499.065,0.989,10 k (Placebo 2018)
avg_family_income,8884.22,55297.708,0.875,10 k (Placebo 2018)
mean_hh_income_q4_alt,3956.883,59274.072,0.948,10 k (Placebo 2018)
avg_household_income_white,13996.855,47935.248,0.775,10 k (Placebo 2018)
avg_household_income_white_nh,14235.452,48536.224,0.774,10 k (Placebo 2018)
avg_household_income,9244.599,49170.152,0.854,10 k (Placebo 2018)
avg_household_income_race_tot,9244.599,49170.152,0.854,10 k (Placebo 2018)
inc_q3_limit,12794.625,52625.938,0.812,10 k (Placebo 2018)
median_family_income,17914.008,55102.668,0.75,10 k (Placebo 2018)
median_hh_inc_owner,10100.242,51481.3,0.847,10 k (Placebo 2018)
median_hh_income_white_nh,9898.95,39485.115,0.806,10 k (Placebo 2018)
median_hh_income_white,10288.875,39407.239,0.798,10 k (Placebo 2018)
median_hh_income,10060.15,40240.26,0.806,10 k (Placebo 2018)
median_hh_inc_all_units,10060.15,40240.26,0.806,10 k (Placebo 2018)
mean_hh_income_q3,2183.575,34853.415,0.951,10 k (Placebo 2018)
median_inc_15plus_male_ftyr,-3469.625,29445.064,0.908,10 k (Placebo 2018)
inc_q2_limit,6754.667,34285.946,0.847,10 k (Placebo 2018)
median_earnings_male,9804.667,31756.327,0.762,10 k (Placebo 2018)
median_hh_inc_renter,13923.058,28108.628,0.629,10 k (Placebo 2018)
median_hh_inc_past12_renters,13923.058,28108.628,0.629,10 k (Placebo 2018)
avg_nonfamily_income,7494.137,32927.877,0.824,10 k (Placebo 2018)
mean_hh_income_q2,-3216.733,24208.117,0.896,10 k (Placebo 2018)
median_earnings_bachelor,12903.608,39454.623,0.749,10 k (Placebo 2018)
median_inc_15plus_male,-2318.667,26451.44,0.931,10 k (Placebo 2018)
median_nonfamily_income,3173.558,21954.44,0.887,10 k (Placebo 2018)
median_earnings_male_somecoll,14541.492,20065.5,0.481,10 k (Placebo 2018)
median_earnings_male_hs,-2800.408,25970.023,0.916,10 k (Placebo 2018)
median_household_income,1107.215,2668.021,0.685,10 k (Placebo 2018)
mean_hh_income_top5pct,1078653.383,551784.977,0.074,25 k (Placebo 2018)
median_owner_home_value,1161370,501153.016,0.039,25 k (Placebo 2018)
mean_hh_income_q5,727720.261,314962.298,0.039,25 k (Placebo 2018)
avg_household_income_hisp,24478.982,44551.127,0.593,25 k (Placebo 2018)
avg_household_income_two,267810.579,84119.01,0.008,25 k (Placebo 2018)
inc_q4_limit,331171.628,116236.329,0.015,25 k (Placebo 2018)
inc_top5pct_lower_limit,139716.478,74790.759,0.086,25 k (Placebo 2018)
avg_family_income,313415.873,128044.521,0.031,25 k (Placebo 2018)
mean_hh_income_q4_alt,356899.894,107408.472,0.006,25 k (Placebo 2018)
avg_household_income_white,277944.42,126072.63,0.048,25 k (Placebo 2018)
avg_household_income_white_nh,276842.258,126042.084,0.048,25 k (Placebo 2018)
avg_household_income,268835.908,114660.779,0.037,25 k (Placebo 2018)
avg_household_income_race_tot,268835.908,114660.779,0.037,25 k (Placebo 2018)
inc_q3_limit,261035.278,94443.607,0.017,25 k (Placebo 2018)
median_family_income,247532.061,87519.584,0.015,25 k (Placebo 2018)
median_hh_inc_owner,225199.967,73003.478,0.009,25 k (Placebo 2018)
median_hh_income_white_nh,238744.661,91583.98,0.023,25 k (Placebo 2018)
median_hh_income_white,232619.944,91904.757,0.026,25 k (Placebo 2018)
median_hh_income,223744.628,84845.313,0.022,25 k (Placebo 2018)
median_hh_inc_all_units,223744.628,84845.313,0.022,25 k (Placebo 2018)
mean_hh_income_q3,250541.161,79259.277,0.008,25 k (Placebo 2018)
median_inc_15plus_male_ftyr,188853.556,81131.673,0.038,25 k (Placebo 2018)
inc_q2_limit,184571.083,67614.556,0.018,25 k (Placebo 2018)
median_earnings_male,173239.472,69213.59,0.028,25 k (Placebo 2018)
median_hh_inc_renter,40480.456,71018.37,0.579,25 k (Placebo 2018)
median_hh_inc_past12_renters,40480.456,71018.37,0.579,25 k (Placebo 2018)
avg_nonfamily_income,110566.298,37261.542,0.012,25 k (Placebo 2018)
mean_hh_income_q2,145557.733,54942.523,0.021,25 k (Placebo 2018)
median_earnings_bachelor,118044.017,45407.313,0.023,25 k (Placebo 2018)
median_inc_15plus_male,140078.111,54887.22,0.025,25 k (Placebo 2018)
median_nonfamily_income,44709.9,45217.689,0.342,25 k (Placebo 2018)
median_earnings_male_somecoll,-30532.839,59043.679,0.614,25 k (Placebo 2018)
median_earnings_male_hs,-6297.661,44608.031,0.89,25 k (Placebo 2018)
median_household_income,7721.778,3016.22,0.025,25 k (Placebo 2018)
