Metric,period,Medium,Large,SMD
agg_family_income,Post (≥2022),1072303925,2720020316.6666665,"<span style=""     color: green !important;"" >1.694</span>"
agg_family_income,Pre (<2022),839719890,2190939186.6666665,"<span style=""     color: green !important;"" >1.817</span>"
agg_gross_rent,Post (≥2022),6514437.5,11343783.333333334,"<span style=""     color: green !important;"" >1.23</span>"
agg_gross_rent,Pre (<2022),5650455,9341486.666666666,"<span style=""     color: green !important;"" >1.291</span>"
agg_household_income,Post (≥2022),1420084900,3288984350,"<span style=""     color: green !important;"" >1.68</span>"
agg_household_income,Pre (<2022),1140131040,2666042706.6666665,"<span style=""     color: green !important;"" >1.767</span>"
agg_household_income_hisp,Post (≥2022),107986400,220763633.33333334,"<span style=""     color: green !important;"" >2.007</span>"
agg_household_income_hisp,Pre (<2022),68989615,153259466.66666666,"<span style=""     color: green !important;"" >2.183</span>"
agg_household_income_race_tot,Post (≥2022),1420084900,3288984350,"<span style=""     color: green !important;"" >1.68</span>"
agg_household_income_race_tot,Pre (<2022),1140131040,2666042706.6666665,"<span style=""     color: green !important;"" >1.767</span>"
agg_household_income_white,Post (≥2022),1258362112.5,2837675833.3333335,"<span style=""     color: green !important;"" >1.569</span>"
agg_household_income_white,Pre (<2022),1054378280,2409113946.6666665,"<span style=""     color: green !important;"" >1.677</span>"
agg_household_income_white_nh,Post (≥2022),1217223412.5,2762260700,"<span style=""     color: green !important;"" >1.537</span>"
agg_household_income_white_nh,Pre (<2022),1002412990,2308775693.3333335,"<span style=""     color: green !important;"" >1.625</span>"
agg_income_15plus,Post (≥2022),1446124350,3331164666.6666665,"<span style=""     color: green !important;"" >1.681</span>"
agg_income_15plus,Pre (<2022),1163592460,2711075080,"<span style=""     color: green !important;"" >1.786</span>"
agg_income_15plus_hisp,Post (≥2022),121700475,267008500,"<span style=""     color: green !important;"" >2.336</span>"
agg_income_15plus_hisp,Pre (<2022),76044890,188866560,"<span style=""     color: green !important;"" >2.697</span>"
agg_income_15plus_race_tot,Post (≥2022),1446124350,3331164666.6666665,"<span style=""     color: green !important;"" >1.681</span>"
agg_income_15plus_race_tot,Pre (<2022),1163592460,2711075080,"<span style=""     color: green !important;"" >1.786</span>"
agg_income_15plus_two_races,Post (≥2022),96403537.5,196469216.66666666,"<span style=""     color: green !important;"" >1.596</span>"
agg_income_15plus_two_races,Pre (<2022),34628995,78937340,"<span style=""     color: green !important;"" >1.215</span>"
agg_income_15plus_white,Post (≥2022),1268772512.5,2837202250,"<span style=""     color: green !important;"" >1.564</span>"
agg_income_15plus_white,Pre (<2022),1072506790,2425699133.3333335,"<span style=""     color: green !important;"" >1.684</span>"
agg_income_15plus_white_nh,Post (≥2022),1229441725,2764310533.3333335,"<span style=""     color: green !important;"" >1.529</span>"
agg_income_15plus_white_nh,Pre (<2022),1019998560,2318662653.3333335,"<span style=""     color: green !important;"" >1.622</span>"
agg_nonfamily_income,Post (≥2022),316770200,519929050,"<span style=""     color: green !important;"" >1.329</span>"
agg_nonfamily_income,Pre (<2022),274101220,438989966.6666667,"<span style=""     color: green !important;"" >1.27</span>"
avg_family_income,Post (≥2022),1069552.7617024912,2108902.9537846656,"<span style=""     color: green !important;"" >1.466</span>"
avg_family_income,Pre (<2022),774274.4801574069,1573886.2313244129,"<span style=""     color: green !important;"" >1.479</span>"
avg_household_income,Post (≥2022),894524.2583717406,1852286.3568617017,"<span style=""     color: green !important;"" >1.59</span>"
avg_household_income,Pre (<2022),653722.2160190511,1394928.994901723,"<span style=""     color: green !important;"" >1.596</span>"
avg_household_income_hisp,Post (≥2022),716160.3757099628,1490696.6880205756,"<span style=""     color: green !important;"" >1.696</span>"
avg_household_income_hisp,Pre (<2022),459739.00141822064,1088265.1127400473,"<span style=""     color: green !important;"" >2.127</span>"
avg_household_income_race_tot,Post (≥2022),894524.2583717406,1852286.3568617017,"<span style=""     color: green !important;"" >1.59</span>"
avg_household_income_race_tot,Pre (<2022),653722.2160190511,1394928.994901723,"<span style=""     color: green !important;"" >1.596</span>"
avg_household_income_two,Post (≥2022),744371.9630004291,1782501.8921859807,"<span style=""     color: green !important;"" >1.948</span>"
avg_household_income_two,Pre (<2022),368949.85055526055,950887.6313287944,"<span style=""     color: green !important;"" >1.33</span>"
avg_household_income_white,Post (≥2022),896629.1007286074,1869746.0323962416,"<span style=""     color: green !important;"" >1.569</span>"
avg_household_income_white,Pre (<2022),656182.3993222896,1406022.5750460073,"<span style=""     color: green !important;"" >1.596</span>"
avg_household_income_white_nh,Post (≥2022),905918.4108059852,1874496.6858040188,"<span style=""     color: green !important;"" >1.565</span>"
avg_household_income_white_nh,Pre (<2022),661712.0837627624,1411598.0387268746,"<span style=""     color: green !important;"" >1.584</span>"
avg_nonfamily_income,Post (≥2022),563503.4031829702,1045536.8916373999,"<span style=""     color: green !important;"" >1.588</span>"
avg_nonfamily_income,Pre (<2022),425394.3403922548,835500.510310248,"<span style=""     color: green !important;"" >1.567</span>"
inc_q2_limit,Post (≥2022),539689,1212018.3333333333,"<span style=""     color: green !important;"" >1.773</span>"
inc_q2_limit,Pre (<2022),392239.25,917900.2666666666,"<span style=""     color: green !important;"" >1.741</span>"
inc_q3_limit,Post (≥2022),829091.75,1763572.5,"<span style=""     color: green !important;"" >1.754</span>"
inc_q3_limit,Pre (<2022),610067.3,1336286.3333333333,"<span style=""     color: green !important;"" >1.69</span>"
inc_q4_limit,Post (≥2022),1278909.375,2487689.3333333335,"<span style=""     color: green !important;"" >1.639</span>"
inc_q4_limit,Pre (<2022),940717.8,1955582.8666666667,"<span style=""     color: green !important;"" >1.628</span>"
inc_top5pct_lower_limit,Post (≥2022),1943005,3027851,"<span style=""     color: green !important;"" >1.32</span>"
inc_top5pct_lower_limit,Pre (<2022),1538763.55,2663038.2666666666,"<span style=""     color: green !important;"" >1.369</span>"
mean_hh_income_q2,Post (≥2022),377694.875,928873.6666666666,"<span style=""     color: green !important;"" >1.838</span>"
mean_hh_income_q2,Pre (<2022),288665.25,721046.2,"<span style=""     color: green !important;"" >1.827</span>"
mean_hh_income_q3,Post (≥2022),621174.625,1481434,"<span style=""     color: green !important;"" >1.876</span>"
mean_hh_income_q3,Pre (<2022),471750.9,1128000.5333333334,"<span style=""     color: green !important;"" >1.809</span>"
mean_hh_income_q4_alt,Post (≥2022),952403.125,2154045.1666666665,"<span style=""     color: green !important;"" >1.824</span>"
mean_hh_income_q4_alt,Pre (<2022),717251.3,1611123.2,"<span style=""     color: green !important;"" >1.741</span>"
mean_hh_income_q5,Post (≥2022),1979080.625,4333526.5,"<span style=""     color: green !important;"" >1.53</span>"
mean_hh_income_q5,Pre (<2022),1490934.8,3218472.0666666664,"<span style=""     color: green !important;"" >1.533</span>"
mean_hh_income_top5pct,Post (≥2022),3318587.625,7156022,"<span style=""     color: green !important;"" >1.409</span>"
mean_hh_income_top5pct,Pre (<2022),2499534.25,5276486.866666666,"<span style=""     color: green !important;"" >1.439</span>"
median_earnings_bachelor,Post (≥2022),504416.25,976882.1666666666,"<span style=""     color: green !important;"" >1.574</span>"
median_earnings_bachelor,Pre (<2022),375411.15,791456.0666666667,"<span style=""     color: green !important;"" >1.767</span>"
median_earnings_male,Post (≥2022),521699,1096298.3333333333,"<span style=""     color: green !important;"" >1.659</span>"
median_earnings_male,Pre (<2022),360831.55,832525.6666666666,"<span style=""     color: green !important;"" >1.68</span>"
median_earnings_male_hs,Post (≥2022),300014.75,480457.1666666667,"<span style=""     color: green !important;"" >1.169</span>"
median_earnings_male_hs,Pre (<2022),256450.55,506709.6,"<span style=""     color: green !important;"" >1.548</span>"
median_earnings_male_somecoll,Post (≥2022),430515.625,756506.1666666666,"<span style=""     color: green !important;"" >2.006</span>"
median_earnings_male_somecoll,Pre (<2022),289068.2,642910.8,"<span style=""     color: green !important;"" >2.16</span>"
median_family_income,Post (≥2022),837331.625,1700340,"<span style=""     color: green !important;"" >1.651</span>"
median_family_income,Pre (<2022),611424.95,1292921.8666666667,"<span style=""     color: green !important;"" >1.613</span>"
median_hh_inc_all_units,Post (≥2022),682744.375,1491637.3333333333,"<span style=""     color: green !important;"" >1.763</span>"
median_hh_inc_all_units,Pre (<2022),494370.4,1126571.9333333333,"<span style=""     color: green !important;"" >1.741</span>"
median_hh_inc_owner,Post (≥2022),836309.875,1704972,"<span style=""     color: green !important;"" >1.75</span>"
median_hh_inc_owner,Pre (<2022),607207.85,1324067.0666666667,"<span style=""     color: green !important;"" >1.781</span>"
median_hh_inc_past12_renters,Post (≥2022),405466.5,791017.6666666666,"<span style=""     color: green !important;"" >1.004</span>"
median_hh_inc_past12_renters,Pre (<2022),302950.85,676635.8,"<span style=""     color: green !important;"" >1.531</span>"
