Metric,period,None,Medium,SMD
agg_family_income,Post (≥2021),441623741.6666667,478576566.6666666,"<span style=""     color: green !important;"" >0.153</span>"
agg_family_income,Pre (<2021),383990406.25,375930712.5,"<span style=""     color: red !important;"" >-0.039</span>"
agg_gross_rent,Post (≥2021),2394616.6666666665,2159038.888888889,"<span style=""     color: red !important;"" >-0.222</span>"
agg_gross_rent,Pre (<2021),2264025,1913887.5,"<span style=""     color: red !important;"" >-0.301</span>"
agg_household_income,Post (≥2021),602248350,627860550,"<span style=""     color: green !important;"" >0.079</span>"
agg_household_income,Pre (<2021),511563925,486952475,"<span style=""     color: red !important;"" >-0.093</span>"
agg_household_income_hisp,Post (≥2021),22168941.666666664,54314888.88888889,"<span style=""     color: green !important;"" >1.139</span>"
agg_household_income_hisp,Pre (<2021),20203281.25,33428220.833333336,"<span style=""     color: green !important;"" >0.725</span>"
agg_household_income_race_tot,Post (≥2021),602248350,627860550,"<span style=""     color: green !important;"" >0.079</span>"
agg_household_income_race_tot,Pre (<2021),511563925,486952475,"<span style=""     color: red !important;"" >-0.093</span>"
agg_household_income_white,Post (≥2021),541247525,559031538.8888888,"<span style=""     color: green !important;"" >0.061</span>"
agg_household_income_white,Pre (<2021),482123462.5,459927837.5,"<span style=""     color: red !important;"" >-0.09</span>"
agg_household_income_white_nh,Post (≥2021),528218266.6666666,539440772.2222222,"<span style=""     color: green !important;"" >0.039</span>"
agg_household_income_white_nh,Pre (<2021),466146337.5,434685625,"<span style=""     color: red !important;"" >-0.128</span>"
agg_income_15plus,Post (≥2021),613499433.3333334,636819505.5555556,"<span style=""     color: green !important;"" >0.071</span>"
agg_income_15plus,Pre (<2021),529511843.75,495750125,"<span style=""     color: red !important;"" >-0.121</span>"
agg_income_15plus_hisp,Post (≥2021),25697208.333333336,57221155.55555555,"<span style=""     color: green !important;"" >1.091</span>"
agg_income_15plus_hisp,Pre (<2021),22221125,35908558.333333336,"<span style=""     color: green !important;"" >0.78</span>"
agg_income_15plus_race_tot,Post (≥2021),613499433.3333334,636819505.5555556,"<span style=""     color: green !important;"" >0.071</span>"
agg_income_15plus_race_tot,Pre (<2021),529511843.75,495750125,"<span style=""     color: red !important;"" >-0.121</span>"
agg_income_15plus_two_races,Post (≥2021),27352308.333333336,40605233.333333336,"<span style=""     color: green !important;"" >0.558</span>"
agg_income_15plus_two_races,Pre (<2021),12365918.75,13120662.5,"<span style=""     color: green !important;"" >0.094</span>"
agg_income_15plus_white,Post (≥2021),547193366.6666666,568655533.3333334,"<span style=""     color: green !important;"" >0.073</span>"
agg_income_15plus_white,Pre (<2021),494615237.5,465413495.8333334,"<span style=""     color: red !important;"" >-0.114</span>"
agg_income_15plus_white_nh,Post (≥2021),537397966.6666666,546548505.5555556,"<span style=""     color: green !important;"" >0.031</span>"
